,0
0,alignement file
1,alignment file
2,alignments sequence
3,annotated intervals
4,annotation tracks
5,assembled contigs
6,assembled scaffolds
7,coverage statistics
8,differential expression results
9,enrichment results
10,experimental design metadata
11,expression matrix
12,gene annotation
13,gene lists
14,genomic features
15,index alignment file
16,normalize expression matrix
17,ontology datasets
18,raw long sequencing reads
19,raw reads
20,raw sequencing reads
21,reference genome
22,reference reads
23,sequence alignment formats
24,sequence variants
25,short sequencing reads
26,structural sequence variants
27,unassembled corrected reads
28,visualizations
